claim_id,claim,provenance,primary_evidence,primary_sha256,supporting_evidence,supporting_sha256,limit
CV_BINARY,Mean F1 and dispersion for the 14-feature binary task,AUTHOR_SAVED,results/cv_leakagefree_summary_binary_ALL.csv,a776796f46b73de6a04f80d4ad7a3b844e3dc8d43e9911f0bead362d5cb62db9,results/cv_leakagefree_folds_binary_ALL.csv,e82504562411e196c0882e5721477d2557574bc4caf3ca8bdebfd34a35723236,15 fold/seed fits; dependent folds; descriptive statistics; no new training run
CV_MULTICLASS,Mean macro-F1 for the 14-feature multiclass task,AUTHOR_SAVED,results/cv_leakagefree_summary_multiclass_ALL.csv,3e67cd5e3d4ad7e1fe4090f0095ae770d5ce9acb1cb70978f52f9c8ba152146d,models/kan14_multiclass_multilayer.pkl,ccd2d5406aa5575c57f6d364babf9e7de1d49f2e80ead1d3dec8d0cbbb66bcdb,CV and canonical single export-fit are different units
TRANSFER,Harmonized rich-space transfer and joint results,AUTHOR_SAVED,results/tabella_finale.csv,269c87ba9008c7d3e69aefeee36f1bf33ea68d5113d924160e5c4da41bd8aa18,results/tabella_finale_meta.json,36261d133c1246a6d17438ef7d5fe911affb1a034fe7098a287156800614c81a,10 cross seeds reuse fixed domains; not independent networks; rich and reduced spaces differ
ARCH_CHOICE,h16/g8 is a deliberate deployment choice; saved validation rule selects h32/g6,AUTHOR_SAVED,results/arch_selection_scelta.json,a9dd5c9b9989c29fab98d099fa0cc944a44441a0ac23d24ad73d52706d46b5b8,results/arch_footprint.csv,cdeed1303af13ed0d602a44d7bd45dc7ade9b0a6bec276be96b8c51bee9e0026,No causal benefit or architecture optimum; saved compiler stack is not peak RAM
LUT_HISTORICAL,RC3 L257 and 5194B were test-informed representation selection,AUTHOR_SAVED_HISTORICAL,results/lut_vs_coeff.csv,df38ffa1af45c0bcfd4ed2dd05a8d722928789eec3198dcac206cbb6cac9dcac,results/lut_vs_coeff_test.csv,f99a1c89ad41d780d1e73d51f0650deb27640f6a86f01de20cbb953c6b77e3f4,Historical full-test agreement cannot make past selection test-independent
LUT_SELECTION,Fixed finite candidate grid with train calibration selects fallback L1025,INDEPENDENTLY_REGENERATED_SOFTWARE,results/lut_selection_protocol.json,357126549ddd10f08f801ad67df44aa6369637254ab28cb98be73884a1024090,results/lut_vs_coeff_calibration.csv,d7b3a58f69c9d4cb549f77a454cdbe3fe1336fbf6030924613af619e0b994a38,No candidate certifies every train row; 34/168834 uncertified; empirical agreement 168834/168834; no new fit
LUT_POSTFREEZE,All 42209 saved test flows agree after representation freeze,INDEPENDENTLY_REGENERATED_SOFTWARE,results/lut_vs_coeff_postfreeze_test.csv,6740283313ec6d6b41641b2a6f5c5983bbee7d115ce5d1639f30fada813ca538,results/lut_postfreeze_test_protocol.json,b7786262c9941863499cd53d524cc3dac832d75b375bf8e714ec993bdd73994a,4 test rows do not satisfy sufficient bound; no observed flips; test has historical exposure
MODEL_ARRAYS,Current parsed C parameter-array bytes,INDEPENDENTLY_REGENERATED_SOFTWARE,results/footprint.csv,5cfdc105f4ef7b00bb0f078d76eae79b30583b15638d867f4b75d3f526404869,mcu_pio/include/kan14_lut_int16.h,a6b47843958dee4651d5a2d7c12f378549622b6bcb933f7805b2ba6736ed41bb,L1025=20554B versus coefficient254B; arrays are not total device footprint; ensemble rows remain estimates
PREPROCESSING,Training-derived reconstruction matches saved model-specific golden inputs,INDEPENDENTLY_REGENERATED_SOFTWARE,artifacts/finalization/preprocessing_recovery_checks.json,9ec05599c53c1cfd07fff8f846374952384df77a47de1fc7076d4470ed27c496,artifacts/finalization/train_calibration.json,c6db99f5911afddc75effb0665368ae393da0ec363d32c1a6e2e432a46ea96ca,No learned weights refit; exact checks only cover declared saved inputs
COHORT,500 unique raw flows with common labels and order; each model uses its fixed transform,INDEPENDENTLY_REGENERATED_SOFTWARE,artifacts/finalization/hardware_cohort.json,4a4f7628d8965abbc9ba7cbf6d28e380cbf59a48c3b95f4429570df81af9d465,artifacts/finalization/hardware_flow_ids.csv,47838669be4a12f7cc97f5388c2d3496d1521c84d7cbb32d5285d224bfe016c5,250+250 interleaved; no score-based selection; common latency and 20-row energy workload are kernel-only
COHORT_EXPORT,Common header and compiled-C expectation provenance,INDEPENDENTLY_REGENERATED_SOFTWARE,artifacts/finalization/hardware_cohort_export.json,b3e5e319941e1f20dc7e9928c5f533f572a19934f1b2f5c42f3ba094ee1f6801,artifacts/finalization/host_hardware_cohort_checks/summary.json,50bf9abdf2abefa08b190022ca0bc16b26095e9ddec5fed4f7befc49330bc756,Host execution is not board timing; generated arrays require new target binaries
